Anno;Cittadinanza;Area;Provenienza;Sesso;Numero Immigrati
1991;Bhutan;Altri paesi Asia;Estero;Maschi;2
1991;Canada;America settentrionale;Estero;Femmine;2
1991;Cina;Altri paesi Asia;Lazio;Femmine;2
1991;Cina;Altri paesi Asia;Marche;Maschi;1
1991;Ecuador;America meridionale;Estero;Femmine;1
1991;Germania;Unione Europea;Estero;Femmine;12
1991;Germania;Unione Europea;Liguria;Femmine;1
1991;Iran;Altri paesi Asia;Toscana;Femmine;1
1991;Libano;Asia occidentale;Toscana;Maschi;1
1991;Malaysia;Altri paesi Asia;Provincia di Modena;Maschi;2
1991;Paraguay;America meridionale;Estero;Femmine;1
1991;Somalia;Altri paesi Africa;Provincia di Bologna;Femmine;1
1991;Turchia;Altri Paesi Europa;Estero;Maschi;3
1991;Ungheria;Altri Paesi Europa;Umbria;Maschi;1
1992;Brasile;America meridionale;Estero;Maschi;6
1992;Cile;America meridionale;Provincia di Bologna;Maschi;1
1992;Etiopia;Altri paesi Africa;Provincia di Bologna;Maschi;1
1992;ex Unione Sovietica;Altri Paesi Europa;Provincia di Bologna;Femmine;1
1992;Iran;Altri paesi Asia;Estero;Femmine;4
1992;Kenia;Altri paesi Africa;Provincia di Ravenna;Femmine;1
1992;Maldive;Altri paesi Asia;Liguria;Femmine;1
1992;Marocco;Africa settentrionale;Campania;Femmine;2
1992;Marocco;Africa settentrionale;Provincia di Bologna;Femmine;6
1992;Marocco;Africa settentrionale;Provincia di Modena;Maschi;2
1992;Marocco;Africa settentrionale;Puglia;Maschi;38
1992;Marocco;Africa settentrionale;Umbria;Femmine;1
1992;Pakistan;Altri paesi Asia;Provincia di Bologna;Maschi;17
1992;Regno Unito;Unione Europea;Estero;Femmine;7
1992;Regno Unito;Unione Europea;Provincia di Reggio Emilia;Maschi;1
1992;Somalia;Altri paesi Africa;Provincia di Bologna;Femmine;3
1992;Spagna;Unione Europea;Provincia di Bologna;Maschi;2
1992;Taiwan (Formosa);Altri paesi Asia;Provincia di Modena;Maschi;2
1992;Tunisia;Africa settentrionale;Calabria;Maschi;3
1992;Tunisia;Africa settentrionale;Campania;Femmine;1
1992;Tunisia;Africa settentrionale;Lazio;Maschi;1
1993;Colombia;America meridionale;Estero;Maschi;3
1993;Congo;Altri paesi Africa;Lazio;Femmine;1
1993;Filippine;Altri paesi Asia;Toscana;Maschi;8
1993;India;Altri paesi Asia;Provincia di Bologna;Maschi;1
